"gene_ID","description","organism","nomenclaturesymbol"
"XP_684668.2","protein MB21D2","Danio rerio",""
"XP_009295364.1","presenilin associated, rhomboid-like a","Danio rerio","parla"
"NP_001014320.1","presenilin associated, rhomboid-like a","Danio rerio","parla"
"XP_010764719.1","receptor tyrosine-protein kinase erbB-4-like","Notothenia coriiceps",""
"XP_009300676.1",NA,NA,NA
"XP_012695062.1","protein kinase N2","Clupea harengus",""
"XP_012715911.1","uncharacterized LOC105924659","Fundulus heteroclitus",""
"XP_009300691.1","zgc:153916","Danio rerio","zgc:153916"
"NP_001082929.1","protein kinase N1b","Danio rerio","pkn1b"
"XP_012680427.1","protein interacting with PRKCA 1","Clupea harengus",""
"XP_014267591.1","potassium calcium-activated channel subfamily N member 3","Maylandia zebra",""
"NP_001017703.1","steroid-5-alpha-reductase, alpha polypeptide 2a","Danio rerio","srd5a2a"
"XP_005158372.1","polycomb protein SCMH1-like","Danio rerio",""
"XP_007249701.1",NA,NA,NA
"XP_009300024.1","polymerase (DNA directed) kappa","Danio rerio","polk"
"XP_006637254.1",NA,NA,NA
"XP_009304980.1","rhomboid 5 homolog 1b (Drosophila)","Danio rerio","rhbdf1b"
"XP_014053797.1","rho-related BTB domain-containing protein 1-like","Salmo salar",""
"XP_009296826.1",NA,NA,NA
"NP_001038399.1","si:dkey-119m7.4","Danio rerio","si:dkey-119m7.4"
"XP_007238341.1","transmembrane and coiled-coil domain family 1","Astyanax mexicanus",""
"XP_007250207.1",NA,NA,NA
"XP_005576733.1","protein argonaute-2-like","Macaca fascicularis",""
"XP_008281669.1","cadherin-18-like","Stegastes partitus",""
"NP_001002620.1","coenzyme Q3 methyltransferase","Danio rerio","coq3"
"XP_003200432.2",NA,NA,NA
"XP_012988584.1","RNA-directed DNA polymerase from mobile element jockey-like","Esox lucius",""
"XP_013999726.1","solute carrier family 22 member 6-A-like","Salmo salar",""
"XP_005156551.1","nuclear receptor coactivator 4","Danio rerio","ncoa4"
"XP_011600888.1","bromodomain and PHD finger containing 1","Takifugu rubripes",""
"NP_835201.1","oligodendrocyte lineage transcription factor 2","Danio rerio","olig2"
"XP_009294236.1","myosin IXB","Danio rerio",""
"NP_001001942.1","secreted protein, acidic, cysteine-rich (osteonectin)","Danio rerio","sparc"
"XP_001339749.3","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 16","Danio rerio","galnt16"
"XP_009302661.1","ubiquitin specific peptidase 37","Danio rerio","usp37"
"NP_997969.1","insulin induced gene 2","Danio rerio","insig2"
"XP_008273895.1","zinc finger MYM-type protein 1-like","Stegastes partitus",""
"NP_957226.1","5'-nucleotidase, ecto (CD73)","Danio rerio","nt5e"
"NP_571042.1","GLI family zinc finger 2a","Danio rerio","gli2a"
"NP_001082974.1","zgc:162989","Danio rerio","zgc:162989"
"XP_014046904.1","integrin alpha-6-like","Salmo salar",""
"XP_013885158.1","eukaryotic translation elongation factor 1 alpha 1","Austrofundulus limnaeus",""
"XP_007551163.1","elongation factor 1-alpha 1-like","Poecilia formosa",""
"XP_009290269.1",NA,NA,NA
"XP_010790534.1","vacuolar protein sorting-associated protein 13D-like","Notothenia coriiceps",""
"XP_009290261.1","integrin, alpha 6b","Danio rerio","itga6b"
"XP_697081.4","potassium voltage-gated channel, KQT-like subfamily, member 5b","Danio rerio","kcnq5b"
"XP_014071157.1","atrial natriuretic peptide receptor 2-like","Salmo salar",""
"XP_008291935.1","atrial natriuretic peptide receptor 2-like","Stegastes partitus",""
"XP_006634888.1",NA,NA,NA
"XP_005171653.1","KAT8 regulatory NSL complex subunit 1b","Danio rerio","kansl1b"
"XP_005171623.1","cell division cycle 27","Danio rerio","cdc27"
"NP_001013463.1","leucine rich repeat containing 1","Danio rerio","lrrc1"
"XP_011479040.1","oxysterol binding protein like 10","Oryzias latipes",""
"XP_009294212.1","lysyl oxidase-like 5a","Danio rerio","loxl5a"
"NP_705942.1","prostaglandin-endoperoxide synthase 1","Danio rerio","ptgs1"
"XP_009294743.1",NA,NA,NA
"XP_005164437.1","epsin 3a","Danio rerio","epn3a"
"XP_010864804.1","exosome component 3","Esox lucius",""
"XP_010131670.1","protein tyrosine phosphatase, non-receptor type 2","Buceros rhinoceros silvestris",""
"XP_013131132.1","protein tyrosine phosphatase, non-receptor type 2","Oreochromis niloticus",""
"XP_007250508.1","tyrosine-protein phosphatase non-receptor type 2-like","Astyanax mexicanus",""
"NP_001025293.2","protein phosphatase 2, regulatory subunit B, beta b","Danio rerio","ppp2r2bb"
"XP_006638757.1","leucine rich repeat containing 1","Lepisosteus oculatus",""
"XP_694092.1","RAB GTPase activating protein 1-like 2","Danio rerio","rabgap1l2"
"NP_001070637.2","zgc:153654","Danio rerio","zgc:153654"
"NP_001012386.1","growth arrest and DNA-damage-inducible, beta b","Danio rerio","gadd45bb"
"XP_694205.1","nardilysin a (N-arginine dibasic convertase)","Danio rerio","nrd1a"
"XP_005171384.1","microtubule-associated protein 1Sb","Danio rerio","map1sb"
"XP_003449105.1","receptor-type tyrosine-protein phosphatase S","Oreochromis niloticus",""
"XP_013866231.1","receptor-type tyrosine-protein phosphatase S-like","Austrofundulus limnaeus",""
"NP_999953.1","acid-sensing (proton-gated) ion channel 2","Danio rerio","asic2"
"XP_005156568.1","si:dkeyp-121d4.3","Danio rerio","si:dkeyp-121d4.3"
"NP_998483.1","protein phosphatase 2, regulatory subunit B', delta","Danio rerio","ppp2r5d"
"XP_002664136.3","zinc finger protein 318","Danio rerio","znf318"
"XP_005167925.1","minichromosome maintenance complex component 3 associated protein","Danio rerio","mcm3ap"
"XP_014028019.1","hydroxysteroid 17-beta dehydrogenase 4","Salmo salar",""
"NP_956430.1","hydroxysteroid (17-beta) dehydrogenase 4","Danio rerio","hsd17b4"
"XP_009305334.1",NA,NA,NA
"NP_001275587.1","zgc:152986","Danio rerio","zgc:152986"
"XP_014063200.1","MACRO domain containing 2","Salmo salar",""
"XP_009297446.1","G2/M phase-specific E3 ubiquitin-protein ligase-like","Danio rerio",""
"XP_014268604.1","uncharacterized LOC106676451","Maylandia zebra",""
"XP_012685363.1","epoxide hydrolase 1-like","Clupea harengus",""
"NP_001167389.1","NEDD8-conjugating enzyme Ubc12","Salmo salar",""
"XP_001920670.3","si:ch1073-205c8.3","Danio rerio","si:ch1073-205c8.3"
"XP_012697499.1","ubiquitin conjugating enzyme E2 M","Clupea harengus",""
"XP_012697494.1","E3 ubiquitin-protein ligase TRIM39-like","Clupea harengus",""
"NP_001093617.1","zgc:158376","Danio rerio","zgc:158376"
"XP_014059990.1","F-box/LRR-repeat protein 19-like","Salmo salar",""
"NP_997067.1","iroquois homeobox 1a","Danio rerio","irx1a"
"XP_003199474.1","integrin, beta 6","Danio rerio","itgb6"
"NP_955839.2","glutamate dehydrogenase 1b","Danio rerio","glud1b"
"NP_999874.1","WD repeat domain 48b","Danio rerio","wdr48b"
"XP_002662124.1","NOP9 nucleolar protein","Danio rerio",""
"XP_014047015.1","NOP9 nucleolar protein","Salmo salar",""
"NP_571536.1","TEK tyrosine kinase, endothelial","Danio rerio","tek"
"XP_012685531.1","TEK receptor tyrosine kinase","Clupea harengus",""
"XP_006626701.1",NA,NA,NA
"XP_013994471.1","TEK receptor tyrosine kinase","Salmo salar",""
"XP_005157956.1","folliculin","Danio rerio","flcn"
"XP_005157957.1","leukocyte receptor cluster (LRC) member 9","Danio rerio","leng9"
"NP_998135.1","microsomal triglyceride transfer protein","Danio rerio","mtp"
"XP_002662215.1","tubulin folding cofactor E-like b","Danio rerio","tbcelb"
"XP_010863025.1",NA,NA,NA
"XP_005161685.1","zgc:101000","Danio rerio","zgc:101000"
"NP_998500.1","SEC13 homolog, nuclear pore and COPII coat complex component","Danio rerio","sec13"
"NP_001002535.2","RWD domain containing 1","Danio rerio","rwdd1"
"NP_001038677.1","si:ch211-262h13.5","Danio rerio","si:ch211-262h13.5"
"YP_008475537.1","cytochrome c oxidase subunit I","Gnathopogon strigatus",""
"NP_001107072.1","SET domain and mariner transposase fusion gene","Danio rerio","setmar"
"XP_007260352.1","uncharacterized LOC103047242","Astyanax mexicanus",""
"XP_005158860.1","echinoderm microtubule associated protein like 1","Danio rerio","eml1"
"XP_005158861.1","echinoderm microtubule associated protein like 1","Danio rerio","eml1"
"XP_008428208.1","uncharacterized LOC103477091","Poecilia reticulata",""
"NP_997782.1","YY1 transcription factor a","Danio rerio","yy1a"
"XP_005158849.1","Enah/Vasp-like a","Danio rerio","evla"
"XP_007237242.1","delta 4-desaturase, sphingolipid 2","Astyanax mexicanus",""
"XP_013996417.1","receptor-type tyrosine-protein phosphatase S-like","Salmo salar",""
"XP_005161887.1","ssu-2 homolog, tandem duplicate 1","Danio rerio","ssuh2.1"
"XP_003200198.1","microfibrillar associated protein 5","Danio rerio","mfap5"
"NP_001103885.1","SH3 domain binding kinase family, member 3","Danio rerio","sbk3"
"XP_005157942.1",NA,NA,NA
"XP_005157943.1","epsin 1","Danio rerio","epn1"
"XP_686801.4","forkhead box J2","Danio rerio","foxj2"
"XP_013878914.1","uncharacterized LOC106528317","Austrofundulus limnaeus",""
"XP_009290480.1","intermediate filament family orphan 1b","Danio rerio","iffo1b"
"NP_922919.1","siaz-interacting nuclear protein","Danio rerio","sinup"
"XP_009292877.1","ectonucleotide pyrophosphatase/phosphodiesterase 1","Danio rerio","enpp1"
"XP_009297235.1",NA,NA,NA
"XP_005748379.1","phosphoglycerate kinase 1","Pundamilia nyererei",""
"NP_956422.1","lipase, endothelial","Danio rerio","lipg"
"XP_012684287.1","LIM domain kinase 1","Clupea harengus",""
"XP_001345248.4","si:dkey-184p9.9","Danio rerio","si:dkey-184p9.9"
"XP_005161115.1",NA,NA,NA
"XP_005161086.1","calpastatin","Danio rerio","cast"
"XP_009293510.1","ectonucleoside triphosphate diphosphohydrolase 2b","Danio rerio","entpd2b"
"NP_001035138.1","CD8a molecule","Danio rerio","cd8a"
"XP_010794388.1","glutamate ionotropic receptor NMDA type subunit 1","Notothenia coriiceps",""
"XP_010794385.1","glutamate ionotropic receptor NMDA type subunit 1","Notothenia coriiceps",""
"XP_005161126.1","glutamate receptor, ionotropic, N-methyl D-aspartate 1a","Danio rerio","grin1a"
"XP_008299095.1","glutamate receptor ionotropic, NMDA 1-like","Stegastes partitus",""
"XP_005161888.1","zmp:0000000735","Danio rerio","zmp:0000000735"
"NP_001107068.1","nucleoporin 62 like","Danio rerio","nup62l"
"NP_956947.2","alpha thalassemia/mental retardation syndrome X-linked homolog (human)","Danio rerio","atrx"
"NP_001038426.1","tripartite motif containing 35-23","Danio rerio","trim35-23"
"XP_012693453.1","nuclear factor 7, ovary-like","Clupea harengus",""
"NP_001107055.1","tripartite motif containing 35-39","Danio rerio","trim35-39"
"XP_012696972.1","tripartite motif-containing protein 35-like","Clupea harengus",""
"XP_012689128.1","tripartite motif-containing protein 35-like","Clupea harengus",""
"NP_001038176.1","tripartite motif containing 35-24","Danio rerio","trim35-24"
"NP_001103307.1","tripartite motif containing 35-35","Danio rerio","trim35-35"
"XP_005158098.1","one cut domain, family member, like","Danio rerio","onecutl"
"XP_001922525.1","si:ch211-198c19.1","Danio rerio","si:ch211-198c19.1"
"XP_009290620.1","ribosomal RNA adenine dimethylase domain containing 1","Danio rerio","rrnad1"
"NP_001096663.1","interferon stimulated exonuclease gene 20-like 2","Danio rerio","isg20l2"
"NP_963874.2","nucleoporin 50","Danio rerio","nup50"
"XP_005164299.1",NA,NA,NA
"XP_005164301.1",NA,NA,NA
"NP_001003487.1","transmembrane p24 trafficking protein 1a","Danio rerio","tmed1a"
"NP_998370.1","mannose-6-phosphate receptor (cation dependent)","Danio rerio","m6pr"
"XP_003200217.2","Rho guanine nucleotide exchange factor (GEF) 5","Danio rerio","arhgef5"
"XP_005161540.1","Rho guanine nucleotide exchange factor (GEF) 5","Danio rerio","arhgef5"
"XP_010873257.1","tetratricopeptide repeat protein 39A","Esox lucius",""
"NP_001073553.1","zgc:158403","Danio rerio","zgc:158403"
"XP_010873256.1","tetratricopeptide repeat protein 39A","Esox lucius",""
"XP_005158021.1","histone deacetylase 9b","Danio rerio","hdac9b"
"XP_010732945.1",NA,NA,NA
"XP_011611323.1","KIAA0430 ortholog","Takifugu rubripes",""
"XP_007287864.1",NA,NA,NA
"XP_009298737.1","cadherin EGF LAG seven-pass G-type receptor 1a","Danio rerio","celsr1a"
"XP_009298736.1","cadherin EGF LAG seven-pass G-type receptor 1a","Danio rerio","celsr1a"
"XP_009298732.1","GRAM domain containing 4a","Danio rerio","gramd4a"
"XP_007234990.1","GRAM domain-containing protein 4","Astyanax mexicanus",""
"XP_003975436.1","adaptor related protein complex 1 mu 1 subunit","Takifugu rubripes",""
"XP_007258462.1","NMD3 ribosome export adaptor","Astyanax mexicanus",""
"NP_001013919.1","Hikeshi, heat shock protein nuclear import factor","Rattus norvegicus","Hikeshi"
"XP_009300030.1",NA,NA,NA
"XP_009306064.1",NA,NA,NA
"XP_009298862.1",NA,NA,NA
"XP_009289512.1","sentrin-specific protease 1-like","Danio rerio",""
"XP_005174231.2",NA,NA,NA
"XP_003200035.2",NA,NA,NA
"XP_009292929.1","FIP1 like 1a (S. cerevisiae)","Danio rerio","fip1l1a"
"NP_001068581.1","ligand of numb-protein X 1","Danio rerio","lnx1"
"XP_005160563.1","ligand of numb-protein X 1","Danio rerio","lnx1"
"XP_009292920.1","ligand of numb-protein X 1","Danio rerio","lnx1"
"NP_001071037.2","CWC22 spliceosome-associated protein homolog (S. cerevisiae)","Danio rerio","cwc22"
"XP_009301266.1","uncharacterized nitr2","Danio rerio",""
"NP_571724.1","novel immune-type receptor 2b","Danio rerio","nitr2b"
"NP_001167388.1","C-terminal binding protein 2","Salmo salar",""
"XP_003455224.1","C-terminal-binding protein 1","Oreochromis niloticus",""
"XP_004919623.1","gastrula zinc finger protein xLCGF3.1-like","Xenopus tropicalis",""
"XP_009298821.1",NA,NA,NA
"XP_684589.4","zinc finger protein 970","Danio rerio","znf970"
"XP_009298900.1","gastrula zinc finger protein XlCGF57.1-like","Danio rerio",""
"NP_571499.2","chloride channel, nucleotide-sensitive, 1A","Danio rerio","clns1a"
"XP_009294435.1",NA,NA,NA
"XP_009294430.1",NA,NA,NA
"XP_007254665.1","ATP binding cassette subfamily F member 3","Astyanax mexicanus",""
"NP_001002317.2","polymerase (RNA) II (DNA directed) polypeptide D","Danio rerio","polr2d"
"XP_007239396.1","related RAS viral (r-ras) oncogene homolog 2","Astyanax mexicanus",""
"XP_005724371.1","related RAS viral (r-ras) oncogene homolog 2","Pundamilia nyererei",""
"XP_697096.5","cerebral cavernous malformation 2-like","Danio rerio","ccm2l"
"XP_005165709.2","uncharacterized LOC101883482","Danio rerio",""
"XP_003200579.2","cyclin-dependent kinase 12","Danio rerio","cdk12"
"XP_002664757.2","F-box and leucine-rich repeat protein 20","Danio rerio","fbxl20"
"XP_003201049.3",NA,NA,NA
"NP_001076422.1","zgc:162898","Danio rerio","zgc:162898"
"XP_014025898.1","IQ motif-containing protein H-like","Salmo salar",""
"NP_001071194.2","zgc:154064","Danio rerio","zgc:154064"
"NP_001071250.1","fibroblast growth factor 12a","Danio rerio","fgf12a"
"XP_009298585.1","collagen type VII alpha 1-like","Danio rerio","col7a1l"
"XP_009298586.1",NA,NA,NA
"XP_009298584.1","collagen type VII alpha 1-like","Danio rerio","col7a1l"
"XP_697894.3","family with sequence similarity 161, member B","Danio rerio","fam161b"
"XP_012995699.1","EPH receptor A5","Esox lucius",""
"XP_001338064.4","EPH receptor A5","Danio rerio",""
"XP_005172666.1",NA,NA,NA
"XP_007238367.1","matrilin-4-like","Astyanax mexicanus",""
"XP_013861730.1","guanine nucleotide-binding protein G(i) subunit alpha-2-like","Austrofundulus limnaeus",""
"XP_698025.5",NA,NA,NA
"NP_955907.1","hydroxysteroid (17-beta) dehydrogenase 12b","Danio rerio","hsd17b12b"
"XP_009290329.1","unc-51 like kinase 4","Danio rerio","ulk4"
"NP_001159677.1","huntingtin interacting protein 1","Danio rerio","hip1"
"XP_007240120.1","transcription factor AP-1-like","Astyanax mexicanus",""
"NP_001073491.1","myosin regulatory light chain interacting protein b","Danio rerio","mylipb"
"NP_001077016.1","DnaJ (Hsp40) homolog, subfamily C, member 10","Danio rerio","dnajc10"
"XP_007260049.1","spermine oxidase-like","Astyanax mexicanus",""
"XP_005167976.1","zgc:66484","Danio rerio","zgc:66484"
"XP_007260047.1","spermine oxidase-like","Astyanax mexicanus",""
"XP_012691956.1","spermine oxidase-like","Clupea harengus",""
"XP_014019753.1","peroxisomal N(1)-acetyl-spermine/spermidine oxidase","Salmo salar",""
"XP_009304742.1","ankyrin 3b","Danio rerio","ank3b"
"NP_001013573.3","amine oxidase, copper containing 2","Danio rerio","aoc2"
"XP_008062142.1","K(lysine) acetyltransferase 7","Tarsius syrichta",""
"XP_007940119.1","lysine acetyltransferase 7","Orycteropus afer afer",""
"XP_007236209.1","lysine acetyltransferase 7","Astyanax mexicanus",""
"XP_014185922.1","histone acetyltransferase KAT7-like","Haplochromis burtoni",""
"XP_006638358.1","lysine acetyltransferase 7","Lepisosteus oculatus",""
"NP_001038850.2","glucokinase (hexokinase 4)","Danio rerio","gck"
"XP_004080103.1","NADH:ubiquinone oxidoreductase core subunit S2","Oryzias latipes",""
"XP_001338362.3","suppressor of glucose, autophagy associated 1","Danio rerio","soga1"
"XP_005159874.1",NA,NA,NA
"XP_009302938.1",NA,NA,NA
"XP_686393.2","tripartite motif containing 45","Danio rerio","trim45"
"NP_001243551.1","mannosidase, alpha, class 1A, member 2","Danio rerio","man1a2"
"XP_003199259.1","V-set domain containing T cell activation inhibitor 1","Danio rerio","vtcn1"
"XP_012683167.1","serine/threonine kinase 10","Clupea harengus",""
"NP_957427.1","serine/threonine kinase 10","Danio rerio","stk10"
"NP_001071192.1","zgc:154054","Danio rerio","zgc:154054"
"XP_001922616.3","saxitoxin and tetrodotoxin-binding protein 2-like","Danio rerio",""
"XP_002664536.2","matrix metallopeptidase 17b","Danio rerio","mmp17b"
"YP_007624863.1","cytochrome c oxidase subunit I","Sarcocheilichthys nigripinnis",""
"XP_006640079.1",NA,NA,NA
"NP_775376.1","c19h1orf109 homolog (H. sapiens)","Danio rerio","c19h1orf109"
"NP_001239488.1","argonaute RISC catalytic component 4","Danio rerio","ago4"
"XP_009292745.1","si:ch73-15n15.3","Danio rerio","si:ch73-15n15.3"
"XP_012693059.1","cell division cycle associated 8","Clupea harengus",""
"XP_006628804.1",NA,NA,NA
"XP_692921.3","protein inhibitor of activated STAT, 1a","Danio rerio","pias1a"
"XP_008274264.1","uveal autoantigen with coiled-coil domains and ankyrin repeats","Stegastes partitus",""
"XP_011608282.1","uveal autoantigen with coiled-coil domains and ankyrin repeats","Takifugu rubripes",""
"XP_014031987.1","uveal autoantigen with coiled-coil domains and ankyrin repeats protein-like","Salmo salar",""
"XP_005169009.1","uveal autoantigen with coiled-coil domains and ankyrin repeats b","Danio rerio","uacab"
"NP_571921.1","acetylcholinesterase","Danio rerio","ache"
"NP_001008650.2","zinc finger, DHHC-type containing 13","Danio rerio","zdhhc13"
"XP_009305230.1","uncharacterized LOC108179107","Danio rerio",""
"XP_009305227.1",NA,NA,NA
"NP_957051.1","secretogranin III","Danio rerio","scg3"
"XP_005169508.1","interferon-induced protein with tetratricopeptide repeats 11","Danio rerio","ifit11"
"XP_009304951.1",NA,NA,NA
"NP_001177394.1","interferon-induced protein with tetratricopeptide repeats 12","Danio rerio","ifit12"
"XP_007256796.1","ephrin-A5-like","Astyanax mexicanus",""
"XP_012693785.1","galactosidase beta 1 like 2","Clupea harengus",""
"XP_001337388.4","ephrin-A5a","Danio rerio","efna5a"
"XP_002662584.2","si:ch211-239j9.1","Danio rerio","si:ch211-239j9.1"
"XP_009295468.1",NA,NA,NA
"XP_685638.4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 7.1","Danio rerio","st8sia7.1"
"XP_001922931.3","si:dkey-9k7.3","Danio rerio","si:dkey-9k7.3"
"XP_008434058.1",NA,NA,NA
"XP_007231546.1","transcription factor 7 like 1","Astyanax mexicanus",""
"XP_013119812.1","uncharacterized LOC106096521","Oreochromis niloticus",""
"XP_009296053.1",NA,NA,NA
"NP_001074100.1","retinal degeneration 3","Danio rerio","rd3"
"XP_011492210.1","protein RD3-like","Oryzias latipes",""
"NP_998010.1","Rh-associated glycoprotein","Danio rerio","rhag"
"XP_005167729.1","protein tyrosine phosphatase, non-receptor type 4a","Danio rerio","ptpn4a"
"NP_001007201.1","protein tyrosine phosphatase, non-receptor type 4a","Danio rerio","ptpn4a"
"XP_009291003.1","probable palmitoyltransferase ZDHHC11","Danio rerio",""
"NP_571581.2","T-box 20","Danio rerio","tbx20"
"XP_009304705.1","CD79b molecule, immunoglobulin-associated beta","Danio rerio","cd79b"
"NP_956482.1","HERPUD family member 2","Danio rerio","herpud2"
"NP_001155212.1","interferon phi 4","Danio rerio","ifnphi4"
"XP_005171701.1","protein FAM104A","Danio rerio",""
"XP_002124374.1","zinc finger MYM-type protein 1-like","Ciona intestinalis",""
"XP_013987559.1","phosphatidate phosphatase LPIN2-like","Salmo salar",""
"XP_008112294.1",NA,NA,NA
"XP_007236452.1","monocyte to macrophage differentiation factor 2-like","Astyanax mexicanus",""
"XP_005162972.1","solute carrier family 12 (potassium/chloride transporter), member 7b","Danio rerio","slc12a7b"
"XP_005165335.1","RasGEF domain family, member 1Ba","Danio rerio","rasgef1ba"
"XP_002664361.2","uncharacterized LOC100329833","Danio rerio",""
"XP_683173.2","minichromosome maintenance 9 homologous recombination repair factor","Danio rerio","mcm9"
"XP_683302.2","family with sequence similarity 184, member A","Danio rerio","fam184a"
"XP_005170252.1","family with sequence similarity 184, member A","Danio rerio","fam184a"
"XP_011471360.1","uncharacterized LOC101172883","Oryzias latipes",""
"XP_012695388.1","uncharacterized LOC105911147","Clupea harengus",""
"XP_014268197.1","uncharacterized LOC106676326","Maylandia zebra",""
"NP_001003994.1","MORC family CW-type zinc finger 2","Danio rerio","morc2"
"XP_001337601.1","si:ch211-125e6.5","Danio rerio","si:ch211-125e6.5"
"NP_001007764.1","N-acylsphingosine amidohydrolase 2","Danio rerio","asah2"
"XP_009297596.1","regulatory factor X, 1a (influences HLA class II expression)","Danio rerio","rfx1a"
"XP_013888991.1","WW domain containing E3 ubiquitin protein ligase 2","Austrofundulus limnaeus",""
"NP_958884.1","TAR DNA binding protein","Danio rerio","tardbp"
"XP_008281362.1","neurobeachin like 1","Stegastes partitus",""
"XP_009295032.1","myosin, heavy chain 7B, cardiac muscle, beta b","Danio rerio","myh7bb"
"XP_007249995.1","myosin heavy chain 7B","Astyanax mexicanus",""
"XP_010895450.1","SRY-box 18","Esox lucius",""
"XP_010793701.1","uncharacterized LOC104966217","Notothenia coriiceps",""
"XP_009299242.1",NA,NA,NA
"XP_007257380.1","ornithine decarboxylase 1","Astyanax mexicanus",""
"NP_571876.1","ornithine decarboxylase 1","Danio rerio","odc1"
"NP_001038701.1","dachshund c","Danio rerio","dachc"
"XP_009297537.1",NA,NA,NA
"XP_005164411.1",NA,NA,NA
"XP_009297517.1","si:ch211-108d22.2","Danio rerio","si:ch211-108d22.2"
"XP_005164409.1","uncharacterized LOC101884073","Danio rerio",""
"XP_009297532.1","si:ch211-108d22.2","Danio rerio","si:ch211-108d22.2"
"XP_009297518.1","si:ch211-108d22.2","Danio rerio","si:ch211-108d22.2"
"XP_009301677.1","leukotriene B4 receptor 1-like","Danio rerio",""
"NP_001300665.1","heat shock transcription factor 1","Danio rerio","hsf1"
"XP_009292229.1","heat shock transcription factor 1","Danio rerio","hsf1"
"NP_001265746.1","aldehyde oxidase 6","Danio rerio","aox6"
"XP_014056983.1","dual specificity tyrosine-phosphorylation-regulated kinase 1B-like","Salmo salar",""
"XP_009301632.1","PHD finger protein 21Aa","Danio rerio","phf21aa"
"XP_001333003.3",NA,NA,NA
"XP_009301634.1","PHD finger protein 21Aa","Danio rerio","phf21aa"
"NP_001017781.1","Rho GTPase activating protein 1","Danio rerio","arhgap1"
"XP_005163811.1","zgc:113210","Danio rerio","zgc:113210"
"NP_001013532.1","zgc:113210","Danio rerio","zgc:113210"
"NP_956001.1","elongation factor RNA polymerase II","Danio rerio","ell"
"NP_957178.1","FK506 binding protein 8","Danio rerio","fkbp8"
"XP_005170591.1","DOT1-like histone H3K79 methyltransferase","Danio rerio","dot1l"
"XP_009294626.1","DOT1-like histone H3K79 methyltransferase","Danio rerio","dot1l"
"NP_001007780.1","anti-Mullerian hormone","Danio rerio","amh"
"XP_009294509.1","anti-Mullerian hormone","Danio rerio","amh"
"NP_919240.2","ornithine decarboxylase antizyme 1a","Danio rerio","oaz1a"
"NP_001116725.1","si:dkey-91m11.5","Danio rerio","si:dkey-91m11.5"
"NP_001005924.1","transmembrane protein 56b","Danio rerio","tmem56b"
"XP_014001238.1","transforming protein RhoA-like","Salmo salar",""
"XP_005163213.1","S-phase cyclin A-associated protein in the ER","Danio rerio","scaper"
"XP_010889537.1","insulin gene enhancer protein ISL-3","Esox lucius",""
"XP_007246575.1","ISL LIM homeobox 2","Astyanax mexicanus",""
"NP_944591.1","electron-transfer-flavoprotein, alpha polypeptide","Danio rerio","etfa"
"NP_001231683.1","kelch-like family member 13","Danio rerio","klhl13"
"NP_999899.1","paired related homeobox 1a","Danio rerio","prrx1a"
"NP_997932.1","transducin (beta)-like 2","Danio rerio","tbl2"
"XP_005172779.1","collagen alpha-1(XXVI) chain-like","Danio rerio",""
"NP_998330.1","B-cell CLL/lymphoma 7B, a","Danio rerio","bcl7ba"
"XP_689912.4","family with sequence similarity 129, member Ab","Danio rerio","fam129ab"
"XP_009296639.1",NA,NA,NA
"NP_001013574.1","zgc:112998","Danio rerio","zgc:112998"
"XP_009290234.1",NA,NA,NA
"XP_005171568.1",NA,NA,NA
"XP_009290244.1",NA,NA,NA
"NP_001083040.1","zinc finger protein 1157","Danio rerio","znf1157"
"XP_005170877.1",NA,NA,NA
"XP_005157344.2","gastrula zinc finger protein XlCGF57.1-like","Danio rerio",""
"XP_009298745.1",NA,NA,NA
"XP_003201575.2",NA,NA,NA
"XP_009290248.1","zinc finger protein 271-like","Danio rerio",""
"XP_009290231.1",NA,NA,NA
"XP_009298823.1","zinc finger protein 721-like","Danio rerio",""
"XP_009290243.1","zinc finger protein 239-like","Danio rerio",""
"XP_003201457.2",NA,NA,NA
"XP_014267560.1","uncharacterized LOC106676111","Maylandia zebra",""
"XP_014267033.1","uncharacterized LOC106675929","Maylandia zebra",""
"XP_690881.3",NA,NA,NA
"XP_005159256.1","protein phosphatase 1 regulatory subunit 3E-like","Danio rerio",""
"XP_012680418.1","zinc finger CCCH-type containing 7B","Clupea harengus",""
"XP_007247509.1","potassium channel tetramerization domain containing 8","Astyanax mexicanus",""
"XP_002197094.1","oligosaccharyltransferase complex non-catalytic subunit","Taeniopygia guttata",""
"XP_007255212.1","antigen KI-67-like","Astyanax mexicanus",""
"NP_957338.1","ring finger protein 13","Danio rerio","rnf13"
"XP_682813.6",NA,NA,NA
"XP_005162936.1","WD repeat domain 24","Danio rerio","wdr24"
"NP_998228.1","WD repeat domain 24","Danio rerio","wdr24"
"NP_001013472.1","zgc:112185","Danio rerio","zgc:112185"
"NP_001108037.1","ankyrin repeat and sterile alpha motif domain containing 3","Danio rerio","anks3"
"NP_998105.2","ligand of numb-protein X 2b","Danio rerio","lnx2b"
"NP_957326.2","X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound","Danio rerio","xpnpep2"
"XP_002665878.4","endoplasmic reticulum metallopeptidase 1-like","Danio rerio",""
"XP_007230682.1","endoplasmic reticulum metallopeptidase 1","Astyanax mexicanus",""
